ID,Name,Grad,Schule,Unterschule,Kategorie,Beschreibung,Alchemist,Antipaladin,Barde,Druide,Hexe,Hexenmeister,Inquisitor,Kampfmagus,Magier,Kleriker,Mystiker,Paktmagier,Paladin,Waldläufer,Blutwüter,Schamane,Jäger,Regelwerk,Seite
2539,"<a href=""http://prd.5footstep.de/Permalink?page_id=2539"" target=""_blank"">Unermüdliche Verfolgung</a>","Inquisitor 1,Waldläufer 1",Verwandlung,,,"Ignoriere Erschöpfung, wenn du eilst.",,,,,,,1,,,,,,,1,,,,Expertenregeln,248
2541,"<a href=""http://prd.5footstep.de/Permalink?page_id=2541"" target=""_blank"">Universalformel</a>",Alchemist 4,Verwandlung,,,&lt;sup&gt;M&lt;/sup&gt;Funktioniert wie ein beliebiges Extrakt der 3 Stufe oder niedriger.,4,,,,,,,,,,,,,,,,,Expertenregeln,248
2542,"<a href=""http://prd.5footstep.de/Permalink?page_id=2542"" target=""_blank"">Unlöschbarer Durst</a>","Hexe 3,Druide 3,Jäger 3",Verwandlung,,Fluch,Eine Kreatur leidet an Austrocknung.,,,,3,3,,,,,,,,,,,,3,Expertenregeln,248
2543,"<a href=""http://prd.5footstep.de/Permalink?page_id=2543"" target=""_blank"">Unschuld</a>",Barde 1,Verwandlung,,,"Erhalte +10 auf Bluffenwürfe, um unschuldig zu wirken.",,,1,,,,,,,,,,,,,,,Expertenregeln,248
2545,"<a href=""http://prd.5footstep.de/Permalink?page_id=2545"" target=""_blank"">Unstillbarer Hunger</a>","Hexe 2,Druide 2,Jäger 2",Verwandlung,,Fluch,Das Ziel verhungert.,,,,2,2,,,,,,,,,,,,2,Expertenregeln,248
2546,"<a href=""http://prd.5footstep.de/Permalink?page_id=2546"" target=""_blank"">Unwilliger Schild</a>","Barde 5,Hexe 6,Inquisitor 5,Hexenmeister/Magier 6",Nekromantie,,,"&lt;sup&gt;M&lt;/sup&gt;Ziel teilt die Wunden, die du erhältst.",,,5,,6,6,5,,6,,,,,,,,,Expertenregeln,249
2549,"<a href=""http://prd.5footstep.de/Permalink?page_id=2549"" target=""_blank"">Verbannt aus der Natur</a>","Hexe 3,Druide 3,Jäger 3",Verwandlung,,Fluch,Ziel erhält 10 auf Überlebenskunstwürfe.,,,,3,3,,,,,,,,,,,,3,Expertenregeln,249
2550,"<a href=""http://prd.5footstep.de/Permalink?page_id=2550"" target=""_blank"">Verborgene Nachrichten</a>","Hexe 2,Inquisitor 3,Barde 2",Verwandlung,,Sprachabhängig,"Erhalte +10 auf Bluffenwürfe, um geheime Nachrichten zu übermitteln.",,,2,,2,,3,,,,,,,,,,,Expertenregeln,249
2551,"<a href=""http://prd.5footstep.de/Permalink?page_id=2551"" target=""_blank"">Verbündeter des Glaubens</a>",Kleriker 4,Hervorrufung,,Energie,"Erzeugt einen göttlichen Verbündeten, der dir hilft.",,,,,,,,,,4,,,,,,,,Expertenregeln,249
2552,"<a href=""http://prd.5footstep.de/Permalink?page_id=2552"" target=""_blank"">Verführerisches Geschenk</a>","Hexe 1,Barde 1",Verzauberung,Zwang,Geistesbeeinflussung,Ziel akzeptiert augenblicklich einen angebotenen Gegenstand und benutzt ihn.,,,1,,1,,,,,,,,,,,,,Expertenregeln,250
2553,"<a href=""http://prd.5footstep.de/Permalink?page_id=2553"" target=""_blank"">Vergeltung</a>",Inquisitor 3,Nekromantie,,"Böses,Schmerz",Letzter Angreifer wird von Mali betroffen.,,,,,,,3,,,,,,,,,,,Expertenregeln,250
2554,"<a href=""http://prd.5footstep.de/Permalink?page_id=2554"" target=""_blank"">Verhalten durchschauen</a>","Inquisitor 2,Alchemist 2,Waldläufer 2,Jäger 2,Hexe 2",Verwandlung,,,10 min/Stufe lang +5 auf Motiv erkennen und Wahrnehmung.,2,,,,2,,2,,,,,,,2,,,2,Expertenregeln,251
2555,"<a href=""http://prd.5footstep.de/Permalink?page_id=2555"" target=""_blank"">Versanden</a>","Hexenmeister/Magier 3,Elementarmagier (Erde) 3,Jäger 3,Druide 3",Verwandlung,,Erde,Erzeugt schwieriges Gelände und verwischt Spuren.,,,,3,,3,,,3,,,,,,,,3,Expertenregeln,251
2556,"<a href=""http://prd.5footstep.de/Permalink?page_id=2556"" target=""_blank"">Verschwinden</a>","Hexenmeister/Magier 1,Barde 1,Kampfmagus 1",Illusion,Fehlgefühl,,"Wie Unsichtbarkeit, aber nur 1 Runde/Stufe (max 5).",,,1,,,1,,1,1,,,,,,,,,Expertenregeln,251
2557,"<a href=""http://prd.5footstep.de/Permalink?page_id=2557"" target=""_blank"">Versteinernder Hauch</a>","Blutwüter 4,Hexenmeister/Magier 4,Elementarmagier (Erde) 4",Verwandlung,,Erde,Berührung verlangsamt Ziel und verursacht 1W4 GE-Schaden.,,,,,,4,,,4,,,,,,4,,,Expertenregeln,251
2559,"<a href=""http://prd.5footstep.de/Permalink?page_id=2559"" target=""_blank"">Verzögerte Wirkung</a>",Alchemist 5,Verwandlung,,,"Extrakt wirkt erst dann, wenn du es willst.",5,,,,,,,,,,,,,,,,,Expertenregeln,251
2560,"<a href=""http://prd.5footstep.de/Permalink?page_id=2560"" target=""_blank"">Vielseitige Waffe</a>","Jäger 2,Waldläufer 2,Kampfmagus 3,Hexenmeister/Magier 3,Blutwüter 3,Barde 2",Verwandlung,,,Waffe durchdringt einige SR.,,,2,,,3,,3,3,,,,,2,3,,2,Expertenregeln,251
2561,"<a href=""http://prd.5footstep.de/Permalink?page_id=2561"" target=""_blank"">Wahre Gestalt</a>","Hexenmeister/Magier 4,Jäger 4,Druide 4",Bannzauber,,,"Entfernt Effekte, die Gestaltwechsel erzeugen.",,,,4,,4,,,4,,,,,,,,4,Expertenregeln,251
2562,"<a href=""http://prd.5footstep.de/Permalink?page_id=2562"" target=""_blank"">Wand des Zauberunterdrückens</a>",Hexenmeister/Magier 9,Bannzauber,,,"&lt;sup&gt;M&lt;/sup&gt;Erzeugt Wand, die Magie unterdrückt.",,,,,,9,,,9,,,,,,,,,Expertenregeln,252
2563,"<a href=""http://prd.5footstep.de/Permalink?page_id=2563"" target=""_blank"">Wanderndes Sternenfunkeln</a>","Hexe 4,Hexenmeister/Magier 4,Schamane 4,Barde 4",Illusion,Täuschung,"Licht,Geistesbeeinflussung",Erhellt Ziel und produziert Licht.,,,4,,4,4,,,4,,,,,,,4,,Expertenregeln,252
2564,"<a href=""http://prd.5footstep.de/Permalink?page_id=2564"" target=""_blank"">Wasserkugel</a>","Blutwüter 3,Druide 3,Jäger 3,Kampfmagus 3,Hexenmeister/Magier 3,Elementarmagier (Wasser) 3,Paktmagier 3",Beschwörung,Erschaffung,Wasser,Erzeugt rollende Kugel aus Wasser.,,,,3,,3,,3,3,,,3,,,3,,3,Expertenregeln,252
2565,"<a href=""http://prd.5footstep.de/Permalink?page_id=2565"" target=""_blank"">Wasserstrahl</a>","Schamane 1,Kampfmagus 1,Jäger 1,Hexenmeister/Magier 1,Elementarmagier (Wasser) 1,Blutwüter 1,Druide 1",Hervorrufung,,Wasser,Eine Wasserwelle führt einen Ansturm gegen einen Gegner aus.,,,,1,,1,,1,1,,,,,,1,1,1,Expertenregeln,253
2566,"<a href=""http://prd.5footstep.de/Permalink?page_id=2566"" target=""_blank"">Wellenritt</a>","Jäger 2,Waldläufer 2,Hexenmeister/Magier 2,Elementarmagier (Wasser) 2,Blutwüter 2,Druide 2",Beschwörung,Erschaffung,Wasser,Welle erhöht Bewegungsrate einer Kreatur.,,,,2,,2,,,2,,,,,2,2,,2,Expertenregeln,253
2567,"<a href=""http://prd.5footstep.de/Permalink?page_id=2567"" target=""_blank"">Weltenwoge</a>","Hexenmeister/Magier 9,Elementarmagier (Erde) 9,Elementarmagier (Wasser) 9,Druide 9",Verwandlung,,"Erde,Wasser",Erde oder Wasser befördert dich über weite Strecken und schadet allen nicht natürlichen Dingen.,,,,9,,9,,,9,,,,,,,,,Expertenregeln,253
2568,"<a href=""http://prd.5footstep.de/Permalink?page_id=2568"" target=""_blank"">Winde der Vergeltung</a>","Druide 9,Hexenmeister/Magier 9,Elementarmagier (Luft) 9,Schamane 9,Kleriker 9",Hervorrufung,,Luft,Verleiht die Fähigkeit zu fliegen und mit Wind Angriffe durchzuführen.,,,,9,,9,,,9,9,,,,,,9,,Expertenregeln,254
2569,"<a href=""http://prd.5footstep.de/Permalink?page_id=2569"" target=""_blank"">Windstrom</a>","Jäger 4,Kampfmagus 4,Hexenmeister/Magier 4,Elementarmagier (Luft) 4,Blutwüter 4,Druide 4",Hervorrufung,,Luft,"Erzeugt Wind, der nicht-tödlichen Schaden verursacht und Kreaturen zu Boden werfen oder wegschieben kann.",,,,4,,4,,4,4,,,,,,4,,4,Expertenregeln,254
2570,"<a href=""http://prd.5footstep.de/Permalink?page_id=2570"" target=""_blank"">Windstärke anpassen</a>","Hexenmeister/Magier 1,Elementarmagier (Luft) 1,Jäger 1,Druide 1",Verwandlung,,Luft,Erhöhe oder schwäche die Kraft natürlicher Winde.,,,,1,,1,,,1,,,,,,,,1,Expertenregeln,255
2571,"<a href=""http://prd.5footstep.de/Permalink?page_id=2571"" target=""_blank"">Windumhang</a>","Blutwüter 3,Waldläufer 3,Jäger 3,Kampfmagus 3,Hexenmeister/Magier 3,Elementarmagier (Luft) 3,Druide 3",Bannzauber,,Luft,Erzeugt Vorhang aus Wind um dich herum.,,,,3,,3,,3,3,,,,,3,3,,3,Expertenregeln,255
2572,"<a href=""http://prd.5footstep.de/Permalink?page_id=2572"" target=""_blank"">Wohltuender Ausklang</a>",Barde 3,Beschwörung,Heilung,,Entfernt einen negativen Effekt.,,,3,,,,,,,,,,,,,,,Expertenregeln,256
2573,"<a href=""http://prd.5footstep.de/Permalink?page_id=2573"" target=""_blank"">Würde verleihen</a>",Paladin 2,Bannzauber,,,Ziel erhält Boni auf Rettungswürfe in Höhe seines CH-Wertes.,,,,,,,,,,,,,2,,,,,Expertenregeln,256
2574,"<a href=""http://prd.5footstep.de/Permalink?page_id=2574"" target=""_blank"">Zauber verbergen</a>",Hexe 1,Illusion,Fehlgefühl,,Verbirgt Zauber vor Magie entdecken.,,,,,1,,,,,,,,,,,,,Expertenregeln,256
2575,"<a href=""http://prd.5footstep.de/Permalink?page_id=2575"" target=""_blank"">Zerschmetternde Felsen</a>","Hexenmeister/Magier 9,Elementarmagier (Erde) 9,Druide 9",Beschwörung,Erschaffung,Erde,Ziel erleidet 20W6 Schaden.,,,,9,,9,,,9,,,,,,,,,Expertenregeln,256
2576,"<a href=""http://prd.5footstep.de/Permalink?page_id=2576"" target=""_blank"">Zorn</a>",Inquisitor 1,Verzauberung,Zwang,"Geistesbeeinflussung,Gefühl",+1 auf Angriffs- und Schadenswürfe gegen Zielkreatur.,,,,,,,1,,,,,,,,,,,Expertenregeln,256
2577,"<a href=""http://prd.5footstep.de/Permalink?page_id=2577"" target=""_blank"">Zum Feind erklären</a>","Jäger 3,Waldläufer 3",Verzauberung,,,Ziel wird wie ein Erzfeind vom Typ deiner Wahl behandelt.,,,,,,,,,,,,,,3,,,3,Expertenregeln,256
2578,"<a href=""http://prd.5footstep.de/Permalink?page_id=2578"" target=""_blank"">Zwielichtsklinge</a>","Hexenmeister/Magier 3,Blutwüter 3,Hexe 3",Hervorrufung,,Energie,Schwebendes Messer greift mit dir an.,,,,,3,3,,,3,,,,,,3,,,Expertenregeln,256
2579,"<a href=""http://prd.5footstep.de/Permalink?page_id=2579"" target=""_blank"">Zwillingsgestalt</a>",Alchemist 6,Verwandlung,,,Erzeugt ein kontrollierbares Double.,6,,,,,,,,,,,,,,,,,Expertenregeln,257
5287,"<a href=""http://prd.5footstep.de/Permalink?page_id=5287"" target=""_blank"">Abscheu</a>","Hexe 3,Antipaladin 2,Hexenmeister/Magier 3,Barde 2",Verzauberung,Zwang,"Geistesbeeinflussung,Gefühl","Ziel wird gezwungen, eine andere Kreatur zu meiden.",,2,2,,3,3,,,3,,,,,,,,,Ausbauregeln: Magie,205
5288,"<a href=""http://prd.5footstep.de/Permalink?page_id=5288"" target=""_blank"">Affenschwarm herbeizaubern</a>","Paktmagier 3,Druide 3,Hexenmeister/Magier 3,Jäger 3,Barde 3",Beschwörung,Herbeizauberung,,Zaubere einen Schwarm Unfug treibender Affen herbei.,,,3,3,,3,,,3,,,3,,,,,3,Ausbauregeln: Magie,205
5289,"<a href=""http://prd.5footstep.de/Permalink?page_id=5289"" target=""_blank"">Älteren Purpurwurm herbeizaubern</a>",Druide 9,Beschwörung,Herbeizauberung,,Zaubere einen riesigen Purpurwurm herbei.,,,,9,,,,,,,,,,,,,,Ausbauregeln: Magie,206
5290,"<a href=""http://prd.5footstep.de/Permalink?page_id=5290"" target=""_blank"">Ätzbrand</a>","Hexenmeister/Magier 5,Kampfmagus 5",Beschwörung,Erschaffung,Säure,Säurefleck fügt einem Gegner Schaden zu.,,,,,,5,,5,5,,,,,,,,,Ausbauregeln: Magie,207
5291,"<a href=""http://prd.5footstep.de/Permalink?page_id=5291"" target=""_blank"">Übelkeit bannen</a>","Kleriker 1,Druide 1,Jäger 1,Hexe 1",Beschwörung,Heilung,,"Unterdrücke Krankheit, Übelkeit und den Zustand kränkelnd.",,,,1,1,,,,,1,,,,,,,1,Ausbauregeln: Magie,241
5292,"<a href=""http://prd.5footstep.de/Permalink?page_id=5292"" target=""_blank"">Überirdische Freuden</a>","Kleriker 6,Hexenmeister/Magier 7,Barde 5",Beschwörung,Heilung,Gefühl,Hebe negative Emotionen auf.,,,5,,,7,,,7,6,,,,,,,,Ausbauregeln: Magie,241
5293,"<a href=""http://prd.5footstep.de/Permalink?page_id=5293"" target=""_blank"">Überwältigende Ehrfurcht</a>","Inquisitor 6,Kleriker 9,Hexenmeister/Magier 9,Barde 6",Verzauberung,Zwang,"Geistesbeeinflussung,Gefühl","Kreaturen verneigen sich vor dir, als wärst du ein göttliches Wesen.",,,6,,,9,6,,9,9,,,,,,,,Ausbauregeln: Magie,242
5294,"<a href=""http://prd.5footstep.de/Permalink?page_id=5294"" target=""_blank"">Überwältigende Trauer</a>","Hexenmeister/Magier 4,Barde 3",Verzauberung,Zwang,"Geistesbeeinflussung,Gefühl",Trauerndes Ziel kann keine Aktionen ausführen und verliert ihren GE-Bonus.,,,3,,,4,,,4,,,,,,,,,Ausbauregeln: Magie,242
5295,"<a href=""http://prd.5footstep.de/Permalink?page_id=5295"" target=""_blank"">Allegro</a>",Barde 2,Verwandlung,,,"Erhalte Hast, während du Bardenauftritt aufrechterhältst.",,,2,,,,,,,,,,,,,,,Ausbauregeln: Magie,205
5296,"<a href=""http://prd.5footstep.de/Permalink?page_id=5296"" target=""_blank"">Allzweckmittel</a>","Hexenmeister/Magier 1,Alchemist 1",Verwandlung,,,Erhalte einen erholsamen oder unterhaltenden Effekt.,1,,,,,1,,,1,,,,,,,,,Ausbauregeln: Magie,205
5297,"<a href=""http://prd.5footstep.de/Permalink?page_id=5297"" target=""_blank"">Andere verkleiden</a>","Inquisitor 2,Hexenmeister/Magier 2,Barde 2",Illusion,Fehlgefühl,,"Wie Selbstverkleidung, aber wirkt auch auf andere.",,,2,,,2,2,,2,,,,,,,,,Ausbauregeln: Magie,206
5298,"<a href=""http://prd.5footstep.de/Permalink?page_id=5298"" target=""_blank"">Anstacheln</a>",Inquisitor 1,Nekromantie,,Schmerz,"Ziel erleidet 1W6 nichttödlichen Schaden, du erhältst einen Bonus auf Einschüchtern.",,,,,,,1,,,,,,,,,,,Ausbauregeln: Magie,206
5299,"<a href=""http://prd.5footstep.de/Permalink?page_id=5299"" target=""_blank"">Mächtige Ansteckung</a>","Kleriker 5,Druide 5,Hexenmeister/Magier 6,Jäger 5,Hexe 5",Nekromantie,,"Böses,Krankheit",Infiziere ein Ziel mit einer magischen Krankheit.,,,,5,5,6,,,6,5,,,,,,,5,Ausbauregeln: Magie,206
5300,"<a href=""http://prd.5footstep.de/Permalink?page_id=5300"" target=""_blank"">Anthropomorphes Tier</a>","Hexenmeister/Magier 3,Jäger 3,Hexe 3,Druide 3",Verwandlung,Gestaltwechsel,,Tier wird zum Zweibeiner.,,,,3,3,3,,,3,,,,,,,,3,Ausbauregeln: Magie,206
5301,"<a href=""http://prd.5footstep.de/Permalink?page_id=5301"" target=""_blank"">Aschesturm</a>","Hexenmeister/Magier 3,Jäger 3,Hexe 3,Druide 3",Beschwörung,Erschaffung,Feuer,Stört Bewegung und Sicht.,,,,3,3,3,,,3,,,,,,,,3,Ausbauregeln: Magie,206
5302,"<a href=""http://prd.5footstep.de/Permalink?page_id=5302"" target=""_blank"">Schwächere Astralprojektion</a>","Hexenmeister/Magier 5,Kleriker 5",Nekromantie,,,Begrenzte Astralreise.,,,,,,5,,,5,5,,,,,,,,Ausbauregeln: Magie,206
5303,"<a href=""http://prd.5footstep.de/Permalink?page_id=5303"" target=""_blank"">Atavismus</a>","Jäger 4,Druide 4",Verwandlung,,,Tier erhält die Schablone für Verbesserte Kreaturen.,,,,4,,,,,,,,,,,,,4,Ausbauregeln: Magie,206
5304,"<a href=""http://prd.5footstep.de/Permalink?page_id=5304"" target=""_blank"">Massen-Atavismus</a>",Druide 8,Verwandlung,,,Ein Tier/Stufe erhält Schablone für Verbesserte Kreaturen.,,,,8,,,,,,,,,,,,,,Ausbauregeln: Magie,207
5305,"<a href=""http://prd.5footstep.de/Permalink?page_id=5305"" target=""_blank"">Aura des Archonten</a>","Paladin 3,Kleriker 3",Hervorrufung,,"Gutes,Ordnung",Aura lässt Gegner Mali auf Angriffe und RK erleiden.,,,,,,,,,,3,,,3,,,,,Ausbauregeln: Magie,207
5306,"<a href=""http://prd.5footstep.de/Permalink?page_id=5306"" target=""_blank"">Aura des Unheils</a>",Kleriker 4,Nekromantie,,"Geistesbeeinflussung,Furcht,Gefühl",Kreaturen innerhalb deiner Aura sind erschüttert.,,,,,,,,,,4,,,,,,,,Ausbauregeln: Magie,207
5307,"<a href=""http://prd.5footstep.de/Permalink?page_id=5307"" target=""_blank"">Aura verleihen</a>",Kleriker 2,Verwandlung,,,Ziel erhält Kopie deiner Klerikeraura.,,,,,,,,,,2,,,,,,,,Ausbauregeln: Magie,207
5308,"<a href=""http://prd.5footstep.de/Permalink?page_id=5308"" target=""_blank"">Bardenphantom</a>",Barde 5,Illusion,Schattenzauber,Schatten,Eine Phantomkopie beginnt Bardenauftritt.,,,5,,,,,,,,,,,,,,,Ausbauregeln: Magie,207
5309,"<a href=""http://prd.5footstep.de/Permalink?page_id=5309"" target=""_blank"">Befristete Auferstehung</a>","Hexenmeister/Magier 7,Hexe 7",Nekromantie,,,Hole eine Kreatur für 24 Stunde ins Leben zurück; nach Ablauf dieser Zeit stirbt sie erneut.,,,,,7,7,,,7,,,,,,,,,Ausbauregeln: Magie,208
5310,"<a href=""http://prd.5footstep.de/Permalink?page_id=5310"" target=""_blank"">Massen-Benommenheit</a>","Hexe 4,Inquisitor 4,Paktmagier 4,Hexenmeister/Magier 4,Barde 4",Verzauberung,Zwang,Geistesbeeinflussung,"Wie Benommenheit, wirkt aber auf mehrere Kreaturen.",,,4,,4,4,4,,4,,,4,,,,,,Ausbauregeln: Magie,208
5311,"<a href=""http://prd.5footstep.de/Permalink?page_id=5311"" target=""_blank"">Besessene Haut</a>","Alchemist 2,Hexenmeister/Magier 2,Hexe 2",Nekromantie,,,Belebe und steuere deine eigene Haut wie eine eigenständige Kreatur.,2,,,,2,2,,,2,,,,,,,,,Ausbauregeln: Magie,208
5312,"<a href=""http://prd.5footstep.de/Permalink?page_id=5312"" target=""_blank"">Blitzbogen</a>",Hexenmeister/Magier 5,Hervorrufung,,Elektrizität,Ziele in einer Linie erleiden 1W6 Elektrizität/Stufe.,,,,,,5,,,5,,,,,,,,,Ausbauregeln: Magie,208
5313,"<a href=""http://prd.5footstep.de/Permalink?page_id=5313"" target=""_blank"">Blitzsprung</a>",Hexenmeister/Magier 9,Hervorrufung,,Elektrizität,Verwandle dich in Elektrizität.,,,,,,9,,,9,,,,,,,,,Ausbauregeln: Magie,208
5314,"<a href=""http://prd.5footstep.de/Permalink?page_id=5314"" target=""_blank"">Blut zu Säure</a>",Hexenmeister/Magier 9,Verwandlung,,"Säure,Schmerz",Ziel nimmt jede Runde Säureschaden und seine Angreifer erleiden Säureschaden.,,,,,,9,,,9,,,,,,,,,Ausbauregeln: Magie,209
5315,"<a href=""http://prd.5footstep.de/Permalink?page_id=5315"" target=""_blank"">Blutkrähenschlag</a>",Kleriker 4,Hervorrufung,,"Böses,Feuer","Unbewaffnete Angriffe erschaffen Krähen, die Feuer und negativen Energieschaden zufügen.",,,,,,,,,,4,,,,,,,,Ausbauregeln: Magie,209
5316,"<a href=""http://prd.5footstep.de/Permalink?page_id=5316"" target=""_blank"">Blutnebel</a>","Druide 8,Schamane 8",Beschwörung,Erschaffung,Gift,Nebel verursacht WE-Schaden und Kampfrausch.,,,,8,,,,,,,,,,,,8,,Ausbauregeln: Magie,209
5317,"<a href=""http://prd.5footstep.de/Permalink?page_id=5317"" target=""_blank"">Bösartigkeit</a>","Barde 3,Hexenmeister/Magier 4",Verzauberung,Zwang,"Gefühl,Geistesbeeinflussung","Ziel wird gezwungen, gegen jemand anderen zu intrigieren.",,,3,,,4,,,4,,,,,,,,,Ausbauregeln: Magie,210
5318,"<a href=""http://prd.5footstep.de/Permalink?page_id=5318"" target=""_blank"">Chaossplitter</a>",Kleriker 2,Hervorrufung,,Chaos,Verletze rechtschaffene Kreaturen und verlangsame sie eventuell.,,,,,,,,,,2,,,,,,,,Ausbauregeln: Magie,210
5319,"<a href=""http://prd.5footstep.de/Permalink?page_id=5319"" target=""_blank"">Defensive Entladung</a>","Blutwüter 2,Alchemist 2,Kampfmagus 2",Hervorrufung,,Elektrizität,Elektrizität fügt Angreifern Schaden zu.,2,,,,,,,2,,,,,,,2,,,Ausbauregeln: Magie,210
5320,"<a href=""http://prd.5footstep.de/Permalink?page_id=5320"" target=""_blank"">Drachenfeuerwerk</a>","Barde 2,Hexenmeister/Magier 1",Verwandlung,,"Feuer,Licht",Erschaffe 1 Drachenfeuerwerk/Stufe.,,,2,,,1,,,1,,,,,,,,,Ausbauregeln: Magie,210
5321,"<a href=""http://prd.5footstep.de/Permalink?page_id=5321"" target=""_blank"">Drückende Langeweile</a>","Barde 2,Hexenmeister/Magier 2",Verzauberung,Zwang,"Gefühl,Geistesbeeinflussung",Ziel verliert seine nächste Aktion.,,,2,,,2,,,2,,,,,,,,,Ausbauregeln: Magie,210
5322,"<a href=""http://prd.5footstep.de/Permalink?page_id=5322"" target=""_blank"">Mächtige Dunkelsicht</a>","Antipaladin 4,Hexenmeister/Magier 4,Jäger 4,Alchemist 4,Waldläufer 4",Verwandlung,,,Dunkelsicht 36 m.,4,4,,,,4,,,4,,,,,4,,,4,Ausbauregeln: Magie,211
5323,"<a href=""http://prd.5footstep.de/Permalink?page_id=5323"" target=""_blank"">Durchdringendes Kreischen</a>",Barde 2,Hervorrufung,,"Schmerz,Schall",Ziel wankt durch einen schmerzhaften Schrei.,,,2,,,,,,,,,,,,,,,Ausbauregeln: Magie,211
5324,"<a href=""http://prd.5footstep.de/Permalink?page_id=5324"" target=""_blank"">Echolot</a>","Alchemist 4,Hexenmeister/Magier 5,Jäger 4,Barde 4,Druide 4",Verwandlung,,Schall,Echolot verleiht dir Blindsicht 12 m.,4,,4,4,,5,,,5,,,,,,,,4,Ausbauregeln: Magie,211
5325,"<a href=""http://prd.5footstep.de/Permalink?page_id=5325"" target=""_blank"">Eidolongenesung</a>",Paktmagier 3,Beschwörung,Heilung,,Genesung für ein Eidolon.,,,,,,,,,,,,3,,,,,,Ausbauregeln: Magie,211
5326,"<a href=""http://prd.5footstep.de/Permalink?page_id=5326"" target=""_blank"">Teilweise Eidolongenesung</a>",Paktmagier 2,Beschwörung,Heilung,,Teilweise Genesung für ein Eidolon.,,,,,,,,,,,,2,,,,,,Ausbauregeln: Magie,211
5327,"<a href=""http://prd.5footstep.de/Permalink?page_id=5327"" target=""_blank"">Eins mit dem Vertrauten</a>","Schamane 4,Hexe 4,Hexenmeister/Magier 4",Nekromantie,,,Ergreife von deinem Vertrauten Besitz.,,,,,4,4,,,4,,,,,,,4,,Ausbauregeln: Magie,212
5328,"<a href=""http://prd.5footstep.de/Permalink?page_id=5328"" target=""_blank"">Eisdolch</a>","Hexenmeister/Magier 1,Blutwüter 1,Hexe 1,Paktmagier 1",Beschwörung,Erschaffung,Kälte,Eisdolch [Meisterarbeit] verursacht +1 Kälteschaden.,,,,,1,1,,,1,,,1,,,1,,,Ausbauregeln: Magie,212
5329,"<a href=""http://prd.5footstep.de/Permalink?page_id=5329"" target=""_blank"">Eisgefängnis</a>",Hexenmeister/Magier 5,Hervorrufung,,Kälte,Dickes Eis hält und verletzt das Ziel.,,,,,,5,,,5,,,,,,,,,Ausbauregeln: Magie,212
5330,"<a href=""http://prd.5footstep.de/Permalink?page_id=5330"" target=""_blank"">Massen-Eisgefängnis</a>",Hexenmeister/Magier 9,Hervorrufung,,Kälte,"Wie Eisgefängnis, wirkt aber auch 1 Kreatur/Stufe.",,,,,,9,,,9,,,,,,,,,Ausbauregeln: Magie,212
5331,"<a href=""http://prd.5footstep.de/Permalink?page_id=5331"" target=""_blank"">Eiskristallteleport</a>","Hexenmeister/Magier 6,Hexe 6,Paktmagier 5",Beschwörung,Teleportation,Kälte,Ziel wird erst eingefroren und dann teleportiert.,,,,,6,6,,,6,,,5,,,,,,Ausbauregeln: Magie,212
5332,"<a href=""http://prd.5footstep.de/Permalink?page_id=5332"" target=""_blank"">Eisleib</a>","Schamane 7,Hexe 7,Hexenmeister/Magier 7",Verwandlung,,Kälte,Dein Körper wird zu lebendem Eis.,,,,,7,7,,,7,,,,,,,7,,Ausbauregeln: Magie,212
5333,"<a href=""http://prd.5footstep.de/Permalink?page_id=5333"" target=""_blank"">Eisschlag</a>","Kleriker 6,Hexenmeister/Magier 6",Hervorrufung,,Kälte,Kegel aus Eissplittern verursacht 1W6 Kälteschaden/Stufe.,,,,,,6,,,6,6,,,,,,,,Ausbauregeln: Magie,213
5334,"<a href=""http://prd.5footstep.de/Permalink?page_id=5334"" target=""_blank"">Eiterpusteln</a>","Hexenmeister/Magier 3,Blutwüter 3,Hexe 3,Alchemist 3",Verwandlung,,Säure,"Säurepusteln brechen auf, wenn du angegriffen wirst.",3,,,,3,3,,,3,,,,,,3,,,Ausbauregeln: Magie,213
5335,"<a href=""http://prd.5footstep.de/Permalink?page_id=5335"" target=""_blank"">Energiefaust</a>","Blutwüter 3,Kampfmagus 3,Hexenmeister/Magier 3",Hervorrufung,,Energie,Ziel erleidet 1W4 Energieschaden/Stufe und wird weggedrückt.,,,,,,3,,3,3,,,,,,3,,,Ausbauregeln: Magie,213
5336,"<a href=""http://prd.5footstep.de/Permalink?page_id=5336"" target=""_blank"">Energiefesseln</a>","Inquisitor 4,Hexenmeister/Magier 4",Hervorrufung,,Energie,Ziel kann einen bestimmten Ort nicht verlassen.,,,,,,4,4,,4,,,,,,,,,Ausbauregeln: Magie,213
5337,"<a href=""http://prd.5footstep.de/Permalink?page_id=5337"" target=""_blank"">Energiewurfhaken</a>","Kampfmagus 3,Blutwüter 3",Hervorrufung,,Energie,Energiehaken schleppt dich zum Ziel.,,,,,,,,3,,,,,,,3,,,Ausbauregeln: Magie,214
5338,"<a href=""http://prd.5footstep.de/Permalink?page_id=5338"" target=""_blank"">Entsetzliches Bedauern</a>","Kleriker 4,Hexenmeister/Magier 4,Barde 3,Inquisitor 3",Verzauberung,Zwang,"Geistesbeeinflussung,Gefühl","Kreatur wird gezwungen, sich selbst zu verletzen.",,,3,,,4,3,,4,4,,,,,,,,Ausbauregeln: Magie,214
